"geolocation","count"
"rio de janeiro, RJ, Brasil",1913894
"sao paulo, SP, Brasil",1372332
"belo horizonte, MG, Brasil",737556
"niteroi, RJ, Brasil",393175
"curitiba, PR, Brasil",255731
"santos, SP, Brasil",238952
"porto alegre, RS, Brasil",228803
"campinas, SP, Brasil",170318
"uberlandia, MG, Brasil",160498
"salvador, BA, Brasil",159996
"santo andre, SP, Brasil",142232
"sao bernardo do campo, SP, Brasil",140614
"guarulhos, SP, Brasil",129040
"montes claros, MG, Brasil",106252
"ipatinga, MG, Brasil",102729
"vila velha, ES, Brasil",98582
"sao jose dos campos, SP, Brasil",97080
"florianopolis, SC, Brasil",94343
"jundiai, SP, Brasil",94124
"vitoria, ES, Brasil",93279
"osasco, SP, Brasil",85179
"barueri, SP, Brasil",82844
"praia grande, SP, Brasil",82619
"sorocaba, SP, Brasil",81081
"divinopolis, MG, Brasil",79303
"ribeirao preto, SP, Brasil",77124
"juiz de fora, MG, Brasil",73998
"brasilia, DF, Brasil",73827
"recife, PE, Brasil",69477
"ubatuba, SP, Brasil",66804
"sete lagoas, MG, Brasil",65304
"maua, SP, Brasil",62512
"niterói, RJ, Brasil",59682
"mogi das cruzes, SP, Brasil",59519
"lavras, MG, Brasil",57685
"araruama, RJ, Brasil",57211
"conselheiro lafaiete, MG, Brasil",54003
"itanhaem, SP, Brasil",53520
"sao caetano do sul, SP, Brasil",51122
"vicosa, MG, Brasil",51066
"pocos de caldas, MG, Brasil",49366
"diadema, SP, Brasil",48629
"itabira, MG, Brasil",45740
"indaiatuba, SP, Brasil",45268
"contagem, MG, Brasil",44429
"campos dos goytacazes, RJ, Brasil",43456
"londrina, PR, Brasil",42908
"franca, SP, Brasil",42256
"paracatu, MG, Brasil",41202
"belem, PA, Brasil",40757
"balneario camboriu, SC, Brasil",40631
"rio claro, SP, Brasil",40200
"nova iguacu, RJ, Brasil",39998
"piracicaba, SP, Brasil",39594
"mairipora, SP, Brasil",38175
"sao carlos, SP, Brasil",38133
"maringa, PR, Brasil",37862
"pouso alegre, MG, Brasil",37835
"fortaleza, CE, Brasil",36642
"goiania, GO, Brasil",36519
"santa maria, RS, Brasil",36498
"araraquara, SP, Brasil",36264
"sao jose do rio preto, SP, Brasil",35847
"taboao da serra, SP, Brasil",33847
"rio das ostras, RJ, Brasil",32736
"sao vicente, SP, Brasil",32508
"carapicuiba, SP, Brasil",32211
"manhuacu, MG, Brasil",32110
"sao goncalo, RJ, Brasil",31993
"cotia, SP, Brasil",31980
"bauru, SP, Brasil",31125
"lagoa santa, MG, Brasil",30916
"uberlândia, MG, Brasil",30694
"ouro preto, MG, Brasil",30452
"pelotas, RS, Brasil",30416
"sao luis, MA, Brasil",29684
"bertioga, SP, Brasil",29498
"serra, ES, Brasil",29404
"campo grande, MS, Brasil",29150
"limeira, SP, Brasil",28867
"unai, MG, Brasil",28728
"taubate, SP, Brasil",28572
"guaruja, SP, Brasil",28291
"jaguariuna, SP, Brasil",28223
"itaperuna, RJ, Brasil",27357
"joinville, SC, Brasil",27132
"maceio, AL, Brasil",26366
"são bernardo do campo, SP, Brasil",25985
"hortolandia, SP, Brasil",25855
"caratinga, MG, Brasil",25485
"suzano, SP, Brasil",25160
"santo andré, SP, Brasil",24848
"registro, SP, Brasil",24750
"boituva, SP, Brasil",24500
"ilhabela, SP, Brasil",24426
"santana de parnaiba, SP, Brasil",24286
"passo fundo, RS, Brasil",24107
"canoas, RS, Brasil",23942
"caxias do sul, RS, Brasil",23926
"paulinia, SP, Brasil",23872
"macae, RJ, Brasil",23843
"fernandopolis, SP, Brasil",23479
"sao jose, SC, Brasil",23306
"sumare, SP, Brasil",22944
"governador valadares, MG, Brasil",22413
"vespasiano, MG, Brasil",22365
"ijui, RS, Brasil",22308
"duque de caxias, RJ, Brasil",22286
"nova serrana, MG, Brasil",22236
"patos de minas, MG, Brasil",22121
"americana, SP, Brasil",21797
"cuiaba, MT, Brasil",21379
"betim, MG, Brasil",21273
"petropolis, RJ, Brasil",21255
"curvelo, MG, Brasil",21164
"itapema, SC, Brasil",20768
"rio grande, RS, Brasil",20289
"videira, SC, Brasil",20267
"itapevi, SP, Brasil",20142
"volta redonda, RJ, Brasil",19364
"ponte nova, MG, Brasil",19202
"vargem grande paulista, SP, Brasil",18964
"peruibe, SP, Brasil",18876
"cascavel, PR, Brasil",18595
"florianópolis, SC, Brasil",18265
"itauna, MG, Brasil",17776
"atibaia, SP, Brasil",17776
"aracaju, SE, Brasil",17290
"blumenau, SC, Brasil",17275
"são josé dos campos, SP, Brasil",17233
"itu, SP, Brasil",17049
"nova friburgo, RJ, Brasil",17024
"embu-guacu, SP, Brasil",16974
"marilia, SP, Brasil",16832
"mariana, MG, Brasil",16566
"jundiaí, SP, Brasil",16286
"valinhos, SP, Brasil",16191
"porto seguro, BA, Brasil",16144
"brasília, DF, Brasil",16135
"ouro branco, MG, Brasil",16072
"barbacena, MG, Brasil",16000
"teresina, PI, Brasil",15779
"embu das artes, SP, Brasil",15666
"sao jose do rio pardo, SP, Brasil",15532
"joao pessoa, PB, Brasil",15202
"pedro leopoldo, MG, Brasil",15040
"mongagua, SP, Brasil",14994
"itaquaquecetuba, SP, Brasil",14955
"ribeirão preto, SP, Brasil",14846
"pirapora, MG, Brasil",14742
"joao monlevade, MG, Brasil",14734
"pedreira, SP, Brasil",14688
"artur nogueira, SP, Brasil",14620
"itajuba, MG, Brasil",14374
"formiga, MG, Brasil",14240
"uberaba, MG, Brasil",14036
"bom despacho, MG, Brasil",14001
"jacarei, SP, Brasil",13941
"araras, SP, Brasil",13897
"itajai, SC, Brasil",13725
"barretos, SP, Brasil",13612
"tres coracoes, MG, Brasil",13359
"cabo frio, RJ, Brasil",13267
"chapeco, SC, Brasil",13176
"porto velho, RO, Brasil",13111
"divinópolis, MG, Brasil",13048
"nova lima, MG, Brasil",13021
"nilopolis, RJ, Brasil",13006
"braganca paulista, SP, Brasil",12978
"itabirito, MG, Brasil",12928
"coronel fabriciano, MG, Brasil",12887
"teofilo otoni, MG, Brasil",12839
"presidente prudente, SP, Brasil",12713
"vitória, ES, Brasil",12590
"primavera do leste, MT, Brasil",12488
"paracambi, RJ, Brasil",12460
"campos do jordao, SP, Brasil",12324
"sao miguel do oeste, SC, Brasil",12280
"sao sebastiao do paraiso, MG, Brasil",12240
"congonhas, MG, Brasil",12210
"luis eduardo magalhaes, BA, Brasil",12060
"caldas novas, GO, Brasil",12060
"campo bom, RS, Brasil",12024
"salto, SP, Brasil",12020
"santa cruz do rio pardo, SP, Brasil",11970
"lins, SP, Brasil",11855
"guaiba, RS, Brasil",11842
"araxa, MG, Brasil",11841
"guaxupe, MG, Brasil",11840
"birigui, SP, Brasil",11710
"uba, MG, Brasil",11639
"ponta grossa, PR, Brasil",11621
"erechim, RS, Brasil",11522
"guanambi, BA, Brasil",11476
"gramado, RS, Brasil",11400
"sao joao de meriti, RJ, Brasil",11388
"mauá, SP, Brasil",11260
"monte alto, SP, Brasil",11254
"capao da canoa, RS, Brasil",11248
"capivari, SP, Brasil",11235
"lauro de freitas, BA, Brasil",11204
"sao jose dos pinhais, PR, Brasil",11187
"santa fe do sul, SP, Brasil",11095
