"product_category_name_english","pct"
health_beauty,9.39
watches_gifts,8.99
bed_bath_table,7.73
sports_leisure,7.37
computers_accessories,6.80
furniture_decor,5.44
cool_stuff,4.74
housewares,4.72
auto,4.42
garden_tools,3.62
toys,3.61
baby,3.07
perfumery,2.98
telephony,2.41
office_furniture,2.04
stationery,1.72
computers,1.66
pet_shop,1.60
musical_instruments,1.43
small_appliances,1.42
electronics,1.20
consoles_games,1.17
fashion_bags_accessories,1.14
construction_tools_construction,1.08
luggage_accessories,1.05
home_appliances_2,0.85
home_construction,0.62
home_appliances,0.60
agro_industry_and_commerce,0.54
furniture_living_room,0.51
fixed_telephony,0.44
home_confort,0.44
air_conditioning,0.41
audio,0.38
books_general_interest,0.35
small_appliances_home_oven_and_coffee,0.35
kitchen_dining_laundry_garden_furniture,0.35
construction_tools_lights,0.31
construction_tools_safety,0.30
industry_commerce_and_business,0.30
food,0.22
market_place,0.21
costruction_tools_garden,0.19
fashion_shoes,0.18
art,0.18
drinks,0.17
signaling_and_security,0.16
furniture_bedroom,0.15
books_technical,0.14
costruction_tools_tools,0.12
food_drink,0.11
